"","X","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI","sexo"
"136",136,"2022.JJA","Coquimbo",32.55,52.25,56.74,7.91,359233,30848,390081,687486,297405,116933,"Ambos sexos"
"137",137,"2022.JAS","Coquimbo",32.38,52.13,56.63,7.94,358855,30937,389792,688362,298570,116209,"Ambos sexos"
"138",138,"2022.ASO","Coquimbo",33.39,52.39,57.29,8.56,361105,33797,394902,689251,294349,120587,"Ambos sexos"
"139",139,"2022.SON","Coquimbo",31.9,52.48,57.32,8.44,362210,33406,395616,690128,294512,115556,"Ambos sexos"
"140",140,"2022.OND","Coquimbo",32.65,52.96,58.09,8.84,365935,35484,401419,691013,289594,119483,"Ambos sexos"
"141",141,"2022.NDE","Coquimbo",31.23,53.47,58.53,8.64,369958,34998,404956,691899,286943,115521,"Ambos sexos"
"142",142,"2023.DEF","Coquimbo",31.63,54.12,59.13,8.48,374904,34746,409650,692770,283120,118572,"Ambos sexos"
"143",143,"2023.EFM","Coquimbo",30.26,54,59.23,8.83,374563,36261,410824,693653,282829,113360,"Ambos sexos"
"144",144,"2023.FMA","Coquimbo",32.63,53.36,58.78,9.21,370645,37596,408240,694554,286314,120955,"Ambos sexos"
"145",145,"2023.MAM","Coquimbo",31.98,53.25,58.4,8.83,370292,35850,406142,695422,289280,118408,"Ambos sexos"
"146",146,"2023.AMJ","Coquimbo",32.03,53.55,58.8,8.92,372877,36515,409392,696296,286904,119450,"Ambos sexos"
"147",147,"2023.MJJ","Coquimbo",31.64,53.71,59.42,9.61,374460,39792,414252,697186,282934,118474,"Ambos sexos"
"148",148,"2023.JJA","Coquimbo",32.16,52.66,59.39,11.33,367654,46960,414614,698114,283500,118234,"Ambos sexos"
"149",149,"2020.JJA","Valparaíso",21.45,41.74,48.58,14.08,668115,109527,777641,1600632,822991,143288,"Ambos sexos"
"150",150,"2020.JAS","Valparaíso",22.21,42.45,49.57,14.37,680185,114106,794291,1602234,807943,151096,"Ambos sexos"
"151",151,"2020.ASO","Valparaíso",25.46,45.27,52,12.93,726132,107842,833974,1603872,769898,184898,"Ambos sexos"
"152",152,"2020.SON","Valparaíso",27.95,47.21,53.56,11.85,757989,101857,859846,1605465,745619,211883,"Ambos sexos"
"153",153,"2020.OND","Valparaíso",28.33,48.53,54.4,10.79,779889,94343,874232,1607109,732877,220941,"Ambos sexos"
"154",154,"2020.NDE","Valparaíso",28.98,48.98,54.76,10.56,787931,93073,881005,1608740,727735,228314,"Ambos sexos"
"155",155,"2021.DEF","Valparaíso",28.99,49.73,55.48,10.37,800754,92656,893411,1610356,716945,232125,"Ambos sexos"
"156",156,"2021.EFM","Valparaíso",28.38,49.59,55.1,10,799428,88794,888222,1611972,723750,226911,"Ambos sexos"
"157",157,"2021.FMA","Valparaíso",26.9,48.22,53.95,10.63,778031,92587,870618,1613615,742997,209274,"Ambos sexos"
"158",158,"2021.MAM","Valparaíso",25.75,47.77,53.49,10.7,771553,92422,863975,1615233,751258,198690,"Ambos sexos"
"159",159,"2021.AMJ","Valparaíso",26.16,48.06,53.8,10.67,777070,92782,869852,1616827,746975,203244,"Ambos sexos"
"160",160,"2021.MJJ","Valparaíso",26.68,49.32,54.64,9.74,798207,86174,884381,1618428,734047,212995,"Ambos sexos"
"161",161,"2021.JJA","Valparaíso",27.74,50.48,55.63,9.26,817791,83469,901260,1619997,718737,226885,"Ambos sexos"
"162",162,"2021.JAS","Valparaíso",27.81,50.37,55.19,8.73,816627,78150,894777,1621408,726631,227066,"Ambos sexos"
"163",163,"2021.ASO","Valparaíso",28.94,51.53,55.98,7.95,836309,72212,908521,1622850,714329,242003,"Ambos sexos"
"164",164,"2021.SON","Valparaíso",29.15,52.02,56.06,7.22,844900,65736,910636,1624287,713651,246306,"Ambos sexos"
"165",165,"2021.OND","Valparaíso",29.75,52.88,57.1,7.4,859653,68649,928302,1625731,697429,255714,"Ambos sexos"
"166",166,"2021.NDE","Valparaíso",29.55,53.3,57.53,7.35,867303,68804,936107,1627131,691024,256324,"Ambos sexos"
"167",167,"2022.DEF","Valparaíso",29.16,53.45,57.96,7.78,870507,73448,943956,1628584,684628,253866,"Ambos sexos"
"168",168,"2022.EFM","Valparaíso",28.02,53.45,58.02,7.87,871294,74433,945728,1630011,684283,244128,"Ambos sexos"
"169",169,"2022.FMA","Valparaíso",28.8,53.03,57.78,8.21,865191,77395,942586,1631413,688827,249181,"Ambos sexos"
"170",170,"2022.MAM","Valparaíso",28.75,52.74,57.6,8.43,861226,79248,940474,1632834,692360,247586,"Ambos sexos"
"171",171,"2022.AMJ","Valparaíso",29.54,53.05,57.74,8.13,866933,76723,943656,1634312,690656,256084,"Ambos sexos"
"172",172,"2022.MJJ","Valparaíso",28.99,52.76,57.69,8.54,863031,80546,943577,1635729,692152,250231,"Ambos sexos"
"173",173,"2022.JJA","Valparaíso",29.56,53.23,58.15,8.46,871468,80590,952058,1637152,685094,257636,"Ambos sexos"
"174",174,"2022.JAS","Valparaíso",28.56,53.94,59.18,8.87,883790,85988,969778,1638612,668834,252452,"Ambos sexos"
"175",175,"2022.ASO","Valparaíso",29.28,53.96,58.83,8.29,884882,79968,964850,1640036,675186,259101,"Ambos sexos"
"176",176,"2022.SON","Valparaíso",28.98,54.25,59.04,8.11,890445,78586,969031,1641444,672413,258072,"Ambos sexos"
"177",177,"2022.OND","Valparaíso",29.42,54.25,58.75,7.66,891254,73888,965143,1642897,677754,262247,"Ambos sexos"
"178",178,"2022.NDE","Valparaíso",28.67,54.86,59.5,7.8,902016,76362,978378,1644302,665924,258581,"Ambos sexos"
"179",179,"2023.DEF","Valparaíso",28.43,54.34,58.81,7.6,894285,73592,967877,1645718,677841,254215,"Ambos sexos"
"180",180,"2023.EFM","Valparaíso",28.66,53.86,58.77,8.34,887246,80732,967978,1647177,679199,254319,"Ambos sexos"
"181",181,"2023.FMA","Valparaíso",28.24,53.8,58.47,7.99,886891,77023,963914,1648591,684677,250467,"Ambos sexos"
"182",182,"2023.MAM","Valparaíso",28.4,54.36,59.14,8.09,896909,78962,975871,1650034,674163,254727,"Ambos sexos"
"183",183,"2023.AMJ","Valparaíso",28.93,54.69,59.68,8.36,903215,82410,985625,1651478,665853,261307,"Ambos sexos"
"184",184,"2023.MJJ","Valparaíso",29.49,54.51,59.99,9.14,901023,90599,991622,1652862,661240,265698,"Ambos sexos"
"185",185,"2023.JJA","Valparaíso",30.34,54.75,60.44,9.42,905724,94173,999896,1654348,654452,274767,"Ambos sexos"
"186",186,"2020.JJA","O'Higgins",20.94,45.42,52.11,12.84,361924,53313,415237,796910,381673,75803,"Ambos sexos"
"187",187,"2020.JAS","O'Higgins",23.43,46.9,53.46,12.28,374147,52365,426513,797769,371256,87678,"Ambos sexos"
"188",188,"2020.ASO","O'Higgins",26.88,48.65,55.02,11.59,388491,50943,439434,798613,359179,104426,"Ambos sexos"
"189",189,"2020.SON","O'Higgins",27.84,49.69,55.54,10.54,397252,46784,444035,799432,355397,110609,"Ambos sexos"
"190",190,"2020.OND","O'Higgins",26.58,50.66,56.34,10.07,405459,45400,450859,800312,349453,107754,"Ambos sexos"
"191",191,"2020.NDE","O'Higgins",24.75,50.71,56.37,10.04,406251,45364,451615,801157,349542,100552,"Ambos sexos"
